type,title,director,country,release_year,,,,,,,,,,,,,,,,,,,,,,,
Movie,100 Years: One Woman's Fight for Justice,Melinda Janko,United States,2016,,,,,,,,,,,,,,,,,,,,,,,
TV Show,Friends,Kevin Bright,United States ,2003,,,,,,,,,,,,,,,,,,,,,,,
Movie,Hubie Halloween,Steve Brill,United States ,2020,,,,,,,,,,,,,,,,,,,,,,,
TV Show,Anne with an E,Various,Canada ,2019,,,,,,,,,,,,,,,,,,,,,,,
TV Show,13 Reasons Why,Gregg Araki,United States,2020,,,,,,,,,,,,,,,,,,,,,,,
TV Show,Barbie Life in the Dreamhouse,Andrew Tan,"United States, Canada",2012,,,,,,,,,,,,,,,,,,,,,,,
Movie,Barbie Princess Adventure,Conrad Helten,United States,2020,,,,,,,,,,,,,,,,,,,,,,,
Movie,Barbie Star Light Adventure,"Andrew Tan, Michael Goguen",United States,2016,,,,,,,,,,,,,,,,,,,,,,,
Movie,Barbie: A Fairy Secret,William Lau,United States,2010,,,,,,,,,,,,,,,,,,,,,,,
Movie,Barbie: Princess Charm School,Ezekiel Norton,"United States, Canada",2011,,,,,,,,,,,,,,,,,,,,,,,
Movie,Franco Escamilla: Bienvenido al mundo,Ulises Valencia,Mexico,2019,,,,,,,,,,,,,,,,,,,,,,,
Movie,Franco Escamilla: Por la anecdota,Ulises Valencia,Mexico,2018,,,,,,,,,,,,,,,,,,,,,,,
TV Show,Love Alarm,Various,South Korea ,2019,,,,,,,,,,,,,,,,,,,,,,,
Movie,The Da Vinci Code,Ron Howard,"United States, Malta, France, United Kingdom",2007,,,,,,,,,,,,,,,,,,,,,,,
Movie,Zodiac,David Fincher,United States ,2007,,,,,,,,,,,,,,,,,,,,,,,
Movie,Selfie 69,Cristina Jacob,Romania,2016,,,,,,,,,,,,,,,,,,,,,,,
Movie,Ay mi madre,Frank Ariza,Spain,2019,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
